state_id,players,nodes,feasible_assignments,pure_nash_equilibria,optimal_welfare,worst_nash_welfare,best_nash_welfare,exact_poa,relative_welfare_gap,ready_order_welfare,ready_order_is_pure_nash,ready_order_termination,ready_order_inner_stable,ready_order_inner_limit_hit,ready_order_oscillated,ready_order_inner_rounds,ready_order_assignment_moves,reference_welfare,reference_absolute_shortfall,reference_normalized_shortfall,reference_exact_hit,reference_runtime_ns,exact_enumeration_runtime_ns,potential_strict_improvements,potential_max_identity_residual
p06-s069,6,3,729,4,94.76608652086986,94.27871807105538,94.59340986048095,1.0051694429006466,0.0051428571940358835,94.27871807105538,True,stable,True,False,False,1,0,94.76608652086986,0.0,0.0,True,2088800,41513100,4374,2.6645352591003757e-15
p06-s070,6,3,729,13,95.39955626628485,95.09681286863712,95.39955626628485,1.0031835283277677,0.003173425637355126,95.39955626628485,True,stable,True,False,False,1,0,95.39955626628485,0.0,0.0,True,1837000,41468500,4374,2.4424906541753444e-15
p06-s071,6,3,729,58,106.62730024659578,106.3888791408909,106.62730024659578,1.0022410340970802,0.0022360230930867932,106.56183308357853,True,stable,True,False,False,1,0,106.62730024659578,0.0,0.0,True,1986800,42398400,4374,2.9976021664879227e-15
p06-s072,6,3,729,1,106.11960553263151,106.11960553263151,106.11960553263151,1.0,0.0,106.11960553263151,True,stable,True,False,False,1,0,106.11960553263151,0.0,0.0,True,1518800,41601100,4374,3.552713678800501e-15
p06-s073,6,3,729,1,101.5072082341652,101.5072082341652,101.5072082341652,1.0,0.0,101.5072082341652,True,stable,True,False,False,1,0,101.5072082341652,0.0,0.0,True,1478700,42900100,4374,2.9976021664879227e-15
p06-s074,6,3,729,18,111.2969911701971,110.71646711305422,111.2969911701971,1.005243339787478,0.005215990576556869,110.94616229967698,True,stable,True,False,False,1,0,111.2969911701971,0.0,0.0,True,2029100,41523800,4374,2.886579864025407e-15
p06-s075,6,3,729,1,103.67232516787655,103.67232516787655,103.67232516787655,1.0,0.0,103.67232516787655,True,stable,True,False,False,1,0,103.67232516787655,0.0,0.0,True,1527000,41464400,4374,2.6645352591003757e-15
p06-s076,6,3,729,30,112.12558634383268,111.38099607113134,112.01939483249,1.0066850746443838,0.00664068119490641,111.99147391324382,True,stable,True,False,False,1,0,112.11484712306861,0.010739220764065749,9.57785026080842e-05,False,1901600,43436400,4374,3.164135620181696e-15
p06-s077,6,3,729,1,111.39627047499872,111.39627047499872,111.39627047499872,1.0,0.0,111.39627047499872,True,stable,True,False,False,1,0,111.39627047499872,0.0,0.0,True,1453200,41274800,4374,3.552713678800501e-15
p06-s078,6,3,729,18,90.90782390431487,90.55445052185907,90.75672193776833,1.0039023303705046,0.0038871613825862054,90.65784070441329,True,stable,True,False,False,2,2,90.90782390431487,0.0,0.0,True,1928500,41145700,4374,3.1086244689504383e-15
p06-s079,6,3,729,53,87.99291115677171,87.88146854841017,87.99291115677171,1.001268101343802,0.0012664952994110184,87.99243844340292,True,stable,True,False,False,2,1,87.99291115677171,0.0,0.0,True,1918100,41105900,4374,2.8171909249863347e-15
p06-s080,6,3,729,20,104.88920972227086,104.84370466330505,104.88920972227086,1.0004340275757324,0.0004338392775224973,104.8779932530186,True,stable,True,False,False,1,0,104.88111137665574,0.008098345615124458,7.720856736901276e-05,False,1742300,41812700,4374,3.1086244689504383e-15
p06-s081,6,3,729,90,112.07524436387006,111.77952152835357,111.9958005253928,1.0026455904576534,0.0026386097768065064,111.88613035144608,True,stable,True,False,False,1,0,112.04291453424706,0.03232982962299502,0.0002884653948915882,False,2344300,41361500,4374,2.942091015256665e-15
p06-s082,6,3,729,2,92.6700808472155,92.14041541587315,92.14041541587315,1.0057484593373247,0.005715603423456674,92.14041541587315,True,stable,True,False,False,2,1,92.66800529700407,0.0020755502114297997,2.239719866924196e-05,False,1951300,41320100,4374,2.886579864025407e-15
p06-s083,6,3,729,1,110.0752174012616,110.0752174012616,110.0752174012616,1.0,0.0,110.0752174012616,True,stable,True,False,False,1,0,110.0752174012616,0.0,0.0,True,1527800,43072000,4374,3.552713678800501e-15
p06-s084,6,3,729,5,101.20339751297469,100.98156468735965,101.20339751297469,1.0021967655809438,0.002191950379794302,100.98156468735965,True,stable,True,False,False,2,1,101.20339751297469,0.0,0.0,True,1824400,41522200,4374,3.1086244689504383e-15
p06-s085,6,3,729,5,108.87327425130141,108.1624488679237,108.7527521691614,1.006571831451835,0.006528924460717346,108.1624488679237,True,stable,True,False,False,1,0,108.87327425130141,0.0,0.0,True,2205200,41101800,4374,2.886579864025407e-15
p06-s086,6,3,729,9,102.03774331169106,101.51064716863564,101.79586505480809,1.005192520762672,0.005165697769748933,101.71006677266672,True,stable,True,False,False,2,1,102.03774331169106,0.0,0.0,True,2468300,43569900,4374,3.1086244689504383e-15
p06-s087,6,3,729,24,95.70035591488059,94.51404305512716,95.6245013628068,1.0125517100042105,0.01239611753177364,95.28075809625162,True,stable,True,False,False,1,0,95.70035591488059,0.0,0.0,True,2080600,43338800,4374,3.1086244689504383e-15
p06-s088,6,3,729,28,103.71421999462649,103.2683981371386,103.71421999462649,1.0043171179715196,0.004298560578394978,103.69244771843098,True,stable,True,False,False,1,0,103.69244771843098,0.021772276195505924,0.00020992566107746807,False,1762700,41566500,4374,3.3306690738754696e-15
p06-s089,6,3,729,20,102.05668174852516,101.38627129450008,101.65519273906135,1.0066124382075137,0.006569001093696409,101.38627129450008,True,stable,True,False,False,2,1,102.05668174852516,0.0,0.0,True,2140400,42114700,4374,3.552713678800501e-15
p06-s090,6,3,729,5,102.87268263770167,102.51559344106931,102.6466185241533,1.0034832671269434,0.0034711760933654264,102.64661852415328,True,stable,True,False,False,1,0,102.87268263770166,1.4210854715202004e-14,1.381402171191547e-16,True,2538200,44017100,4374,2.831068712794149e-15
p06-s091,6,3,729,2,99.75883459427686,99.75883459427685,99.75883459427686,1.0000000000000002,1.4245209231842086e-16,99.75883459427685,True,stable,True,False,False,1,0,99.75883459427685,1.4210854715202004e-14,1.4245209231842086e-16,True,1959400,43741200,4374,2.6645352591003757e-15
p06-s092,6,3,729,4,101.18702966988411,101.10944871160923,101.18702966988411,1.0007672968180863,0.0007667085250746254,101.18702966988411,True,stable,True,False,False,1,0,101.18702966988411,0.0,0.0,True,1797900,40941100,4374,2.7755575615628914e-15
p06-s093,6,3,729,1,111.40507671417171,111.40507671417171,111.40507671417171,1.0,0.0,111.40507671417171,True,stable,True,False,False,1,0,111.40507671417171,0.0,0.0,True,1500200,41608000,4374,3.1086244689504383e-15
p06-s094,6,3,729,14,102.02824386914833,101.50688263914344,101.5728619125019,1.005136215559474,0.00510996965382971,101.5424653423539,True,stable,True,False,False,1,0,102.02824386914833,0.0,0.0,True,2045800,43113400,4374,3.1086244689504383e-15
p06-s095,6,3,729,1,108.47347885209606,108.10385006098548,108.10385006098548,1.003419200989623,0.003407549891661312,108.10385006098548,True,stable,True,False,False,1,0,108.47347885209606,0.0,0.0,True,1967800,42140800,4374,3.3306690738754696e-15
p06-s096,6,3,729,1,114.64612699938245,114.64612699938245,114.64612699938245,1.0,0.0,114.64612699938245,True,stable,True,False,False,1,0,114.64612699938245,0.0,0.0,True,1483500,41385400,4374,3.3306690738754696e-15
p06-s097,6,3,729,15,107.75408257237736,107.63802573696803,107.75408257237736,1.001078214084797,0.0010770527913071886,107.70530836869143,True,stable,True,False,False,1,0,107.75408257237736,0.0,0.0,True,1722700,40869800,4374,2.942091015256665e-15
p06-s098,6,3,729,40,96.23637978132524,96.07115890563108,96.23637978132525,1.0017197760241079,0.001716823472262635,96.1481176853391,True,stable,True,False,False,2,2,96.20764148293445,0.028738298390791783,0.0002986219811685859,False,1997100,41302500,4374,2.942091015256665e-15
p06-s099,6,3,729,22,91.46829855192831,90.44351435742082,91.46829855192831,1.0113306542960911,0.011203708943221457,91.46829855192831,True,stable,True,False,False,2,1,91.46829855192831,0.0,0.0,True,2092200,42573400,4374,2.7755575615628914e-15
p08-s000,8,3,6561,331,132.07329756441655,131.22287311123495,132.07329756441655,1.006480763856319,0.006439033997518101,131.70461287813467,True,stable,True,False,False,1,0,132.0493675657961,0.023929998620445758,0.00018118725784653254,False,3560400,554972200,52488,3.552713678800501e-15
p08-s001,8,3,6561,96,126.70839385848545,125.68544504302027,126.4243073301744,1.0081389600451751,0.008073252168342275,126.00048708483057,True,stable,True,False,False,2,3,126.63634402891748,0.07204982956797323,0.0005686271238544957,False,3455100,556905300,52488,2.6645352591003757e-15
p08-s002,8,3,6561,5,131.59038544932702,131.36803279803274,131.47162872196515,1.0016925932935004,0.0016897332623126667,131.36803279803274,True,stable,True,False,False,1,0,131.5711960617296,0.019189387597407404,0.00014582666911327558,False,3559200,562100500,52488,3.1086244689504383e-15
p08-s003,8,3,6561,30,137.68702893719558,137.1384244364309,137.2656545636624,1.0040003704506535,0.003984431249619802,137.16140636260968,True,stable,True,False,False,1,0,137.66822752833284,0.01880140886274262,0.00013655177984353686,False,3432600,558315700,52488,3.552713678800501e-15
p08-s004,8,3,6561,98,132.74761402966047,131.793438111245,132.55808747869966,1.0072399349473686,0.007187895054763669,131.9505211657686,True,stable,True,False,False,2,1,132.6528330933264,0.09478093633407525,0.000713993520914793,False,4295500,565243600,52488,3.552713678800501e-15
p08-s005,8,3,6561,168,138.98511668000992,138.39350784760956,138.8696541559427,1.0042748308183056,0.004256634426277807,138.505250898925,True,stable,True,False,False,1,0,138.91732041990753,0.06779626010239781,0.0004877951087272704,False,3169000,564977800,52488,3.552713678800501e-15
p08-s006,8,3,6561,300,121.08359369494619,120.48179221718374,121.08359369494619,1.0049949578827448,0.004970132281327955,120.71002498916219,True,stable,True,False,False,2,1,121.05693554175593,0.026658153190254552,0.0002201632143279145,False,3901000,556458300,52488,3.1086244689504383e-15
p08-s007,8,3,6561,440,138.9094929896491,138.47632681709572,138.9094929896491,1.0031280882625195,0.0031183338390389794,138.7313770779339,True,stable,True,False,False,1,0,138.8678870150226,0.04160597462649207,0.00029951858387095514,False,3126900,564058500,52488,3.552713678800501e-15
p08-s008,8,3,6561,1,132.22900884315897,132.22900884315897,132.22900884315897,1.0,0.0,132.22900884315897,True,stable,True,False,False,1,0,132.22900884315897,0.0,0.0,True,2387200,559433900,52488,3.1086244689504383e-15
